"","BARRIO","PROMEDIOUSD_2018","PROMEDIOUSD_2019","PROMEDIOUSD_2020","VARIACION_18_19","VARIACION_19_20","VARIACION_18_20","rebote"
"1","AGRONOMIA",2291.8435182,1787.706009,1963.05063291139,-21.9970301286515,9.80835903826691,-14.3462187831584,"Positivo"
"2","ALMAGRO",2522.86524015789,2704.63024740441,2603.32603406326,7.20470536250843,-3.74558457439317,3.18926245542668,"Negativo"
"3","BALVANERA",2204.30709222,2380.44298039316,2353.89976689977,7.9905331155911,-1.11505353045726,6.7863808635261,"Negativo"
"4","BARRACAS",1107.9090532,1429.3789718871,NA,29.0159122500703,NA,NA,NA
"5","BELGRANO",4287.27343925,4887.87063146421,4302.16605166052,14.0088380348158,-11.9828167307333,0.347367916265284,"Negativo"
"6","BOCA",1072.1556999,1217.81099646269,1086.2576419214,13.5852746551897,-10.8024442974653,1.31528863043984,"Negativo"
"7","BOEDO",2079.73630327778,2021.31317090278,1973.63636363636,-2.80916057881577,-2.35870462591999,-5.10160540421373,"Nulo"
"8","CABALLITO",2335.95850937037,3053.03891592769,2868.58937198068,30.697480442433,-6.04150648014149,22.8013836921217,"Negativo"
"9","CHACARITA",3263.6704455,2973.92121121504,2679.7171314741,-8.87801753036906,-9.89280007255913,-17.892533078242,"Nulo"
"10","COGHLAN",3402.63158166667,3038.0986355,2827.58928571429,-10.7132652306751,-6.92898338868676,-16.8999282511425,"Nulo"
"11","COLEGIALES",3403.20711530769,3404.83685116,3398.9009009009,0.0478882359224331,-0.174338757437875,-0.126534009270896,"Negativo"
"12","CONSTITUCION",2043.97891278571,1826.55910568182,1572.065,-10.637086603187,-13.9329794962655,-23.0880030040304,"Nulo"
"13","FLORES",2055.37894463793,2092.03679849453,NA,1.78350828941918,NA,NA,NA
"14","FLORESTA",2210.491676,2134.79067628431,1616.74418604651,-3.42462269989957,-24.2668518273408,-26.8604264110103,"Nulo"
"15","LINIERS",1643.79507366667,1388.57474668578,1421.54375,-15.5262861575311,2.37430526465416,-13.5206223225204,"Positivo"
"16","MATADEROS",1089.22386455556,1270.71488736364,1171.2030075188,16.6624170396905,-7.83117289601427,7.52638145664317,"Negativo"
"17","MONSERRAT",1962.46838746667,2630.03062055319,NA,34.0164579134075,NA,NA,NA
"18","MONTE CASTRO",1402.80093458824,1529.99098538462,1528.49523809524,9.06686384791398,-0.0977618367471123,8.96023807853379,"Negativo"
"19","NUEVA POMPEYA",2337.60554591667,1361.5666086,1220.5,-41.7537911398958,-10.3606101757334,-47.7884537820347,"Nulo"
"20","NUÑEZ",4223.97472578571,3996.02702868942,3778.06701030928,-5.39652133107615,-5.45441802108202,-10.5565905201644,"Nulo"
"21","PALERMO",4780.05700982258,4485.62237092932,4283.04671280277,-6.15964701442316,-4.51611039394253,-10.3975809493172,"Nulo"
"22","PARQUE AVELLANEDA",1177.95760714286,1363.00235726087,1424.86826347305,15.7089481825105,4.53894344955588,20.9609119065906,"Nulo"
"23","PARQUE CHACABUCO",1327.75421736,1947.39686305495,1587.98882681564,46.6684750530857,-18.4558187936838,19.5996070698289,"Negativo"
"24","PARQUE CHAS",1771.64785333333,2276.62123511364,1893.88461538462,28.5030335362754,-16.811607210978,6.89960828396541,"Negativo"
"25","PARQUE PATRICIOS",2039.9371965,2084.53727256738,1708.05394190871,2.18634554749519,-18.0607627224134,-16.2692878565434,"Negativo"
"26","PATERNAL",1793.487154,2120.61167505882,1721.16814159292,18.2395798224281,-18.8362413620506,-4.0323128183989,"Negativo"
"27","RECOLETA",5221.9902364,5664.15462553333,5834.1875,8.46735380796419,3.00191088887614,11.7234471128013,"Nulo"
"28","RETIRO",11428.571429,3181.0589333,5284.16666666667,-72.1657343346688,66.1134476746372,-53.7635416684005,"Positivo"
"29","SAAVEDRA",2129.58156975,2514.35680473913,2435.64361702128,18.0681144340623,-3.1305496327925,14.3719335112017,"Negativo"
"30","SAN CRISTOBAL",1860.04252585714,1755.61282323255,1633.59459459459,-5.61437177768139,-6.95017870815531,-12.1743416139476,"Nulo"
"31","SAN NICOLAS",3634.19641714286,2581.0710370566,3758.36231884058,-28.9782185442305,45.6125098798727,3.41659853914389,"Positivo"
"32","SAN TELMO",3313.02089142857,1870.0974195,2766.21052631579,-43.5531051331942,47.9179906603678,-16.5048873228505,"Positivo"
"33","VELEZ SARSFIELD",773.49403275,1463.34154550909,1534.15897435897,89.1858868395505,4.83943267156037,98.341410457245,"Nulo"
"34","VERSALLES",1068.70229,1650.59684752,1134.3417721519,54.4487050289749,-31.2768727350817,6.14198011608067,"Negativo"
"35","VILLA CRESPO",3061.36843779245,3107.72380392528,3048.57534246575,1.51420409123488,-1.90327278713822,-0.417888130313537,"Negativo"
"36","VILLA DEL PARQUE",2038.21817726923,2413.05575595789,2124.63218390805,18.3904541166866,-11.9526277558123,4.23968383770335,"Negativo"
"37","VILLA DEVOTO",1647.61009970588,2172.97810937072,NA,31.8866708670104,NA,NA,NA
"38","VILLA GRAL. MITRE",1568.23808533333,1705.78755729333,1555.1164021164,8.77095596940329,-8.83293787275653,-0.836714994977461,"Negativo"
"39","VILLA LUGANO",740.722871875,834.677974153846,908.55,12.6842447892849,8.85036243121684,22.6572088560162,"Nulo"
"40","VILLA LURO",1449.342668125,1576.52131046,1754.26886792453,8.77491880505592,11.2746688728657,21.0389307170545,"Nulo"
"41","VILLA ORTUZAR",2434.05239255,2882.54942586111,2414.045,18.4259399955335,-16.2531272372252,-0.821978713820515,"Negativo"
"42","VILLA PUEYRREDON",2008.4860169,1842.64155692,1750.33139534884,-8.2571876818925,-5.00966458856276,-12.8531948631443,"Nulo"
"43","VILLA REAL",1449.43823325,1449.64611646667,1232.35849056604,0.0143423301454115,-14.9890116927461,-14.9768191361432,"Negativo"
"44","VILLA RIACHUELO",930.232558,1299.31570833333,661.27027027027,39.6764386667848,-49.1062667811121,-28.913445935283,"Negativo"
"45","VILLA SANTA RITA",1809.61040215789,1618.48734916418,1803.85398230089,-10.561558043975,11.4530789031149,-0.318102717034852,"Positivo"
"46","VILLA SOLDATI",466.445983,809.574181166667,593.190476190476,73.5622581546954,-26.72808866809,27.1723839007691,"Negativo"
"47","VILLA URQUIZA",2857.78805992308,2675.4067455371,2775.79183673469,-6.38190483554915,3.75214315972883,-2.86921988156779,"Positivo"
